Dia;Mes;ano;Hora;Minuto;Segundo;Temperatura
16;10;2012;8;2;0;22,5
16;10;2012;10;2;0;23,5
16;10;2012;12;2;0;24,5
16;10;2012;14;2;0;21,5
16;10;2012;16;2;0;22,0
16;10;2012;18;2;0;21,5
16;10;2012;20;2;0;21,0
16;10;2012;22;2;0;20,5
17;10;2012;0;2;0;20,0
17;10;2012;2;2;0;19,5
17;10;2012;4;2;0;19,5
17;10;2012;6;2;0;19,5
17;10;2012;8;2;0;20,0
17;10;2012;10;2;0;22,0
17;10;2012;12;2;0;21,0
17;10;2012;14;2;0;21,0
17;10;2012;16;2;0;20,5
17;10;2012;18;2;0;20,5
17;10;2012;20;2;0;20,0
17;10;2012;22;2;0;20,0
18;10;2012;0;2;0;20,0
18;10;2012;2;2;0;20,0
18;10;2012;4;2;0;19,5
18;10;2012;6;2;0;19,5
18;10;2012;8;2;0;21,5
18;10;2012;10;2;0;23,0
18;10;2012;12;2;0;24,5
18;10;2012;14;2;0;22,5
18;10;2012;16;2;0;22,0
18;10;2012;18;2;0;21,5
18;10;2012;20;2;0;21,5
18;10;2012;22;2;0;21,5
19;10;2012;0;2;0;21,5
19;10;2012;2;2;0;21,0
19;10;2012;4;2;0;21,0
19;10;2012;6;2;0;21,0
19;10;2012;8;2;0;21,0
19;10;2012;10;2;0;21,5
19;10;2012;12;2;0;21,0
19;10;2012;14;2;0;21,5
19;10;2012;16;2;0;21,0
19;10;2012;18;2;0;21,0
19;10;2012;20;2;0;21,0
19;10;2012;22;2;0;21,0
20;10;2012;0;2;0;20,5
20;10;2012;2;2;0;19,5
20;10;2012;4;2;0;18,5
20;10;2012;6;2;0;18,0
20;10;2012;8;2;0;20,0
20;10;2012;10;2;0;20,5
20;10;2012;12;2;0;21,0
20;10;2012;14;2;0;21,0
20;10;2012;16;2;0;20,5
20;10;2012;18;2;0;20,0
20;10;2012;20;2;0;19,5
20;10;2012;22;2;0;19,5
21;10;2012;1;2;0;19,5
21;10;2012;3;2;0;20,0
21;10;2012;5;2;0;20,5
21;10;2012;7;2;0;21,0
21;10;2012;9;2;0;22,0
21;10;2012;11;2;0;23,0
21;10;2012;13;2;0;23,0
21;10;2012;15;2;0;24,0
21;10;2012;17;2;0;24,0
21;10;2012;19;2;0;23,0
21;10;2012;21;2;0;22,0
21;10;2012;23;2;0;21,5
22;10;2012;1;2;0;20,5
22;10;2012;3;2;0;20,0
22;10;2012;5;2;0;20,0
22;10;2012;7;2;0;20,0
22;10;2012;9;2;0;20,0
22;10;2012;11;2;0;20,5
22;10;2012;13;2;0;21,5
22;10;2012;15;2;0;22,5
22;10;2012;17;2;0;22,5
22;10;2012;19;2;0;22,5
22;10;2012;21;2;0;22,0
22;10;2012;23;2;0;22,0
23;10;2012;1;2;0;21,5
23;10;2012;3;2;0;21,5
23;10;2012;5;2;0;21,5
23;10;2012;7;2;0;21,0
23;10;2012;9;2;0;20,5
23;10;2012;11;2;0;22,0
23;10;2012;13;2;0;22,0
23;10;2012;15;2;0;21,0
23;10;2012;17;2;0;21,5
23;10;2012;19;2;0;21,0
23;10;2012;21;2;0;21,0
23;10;2012;23;2;0;21,0
24;10;2012;1;2;0;21,0
24;10;2012;3;2;0;21,0
24;10;2012;5;2;0;21,0
24;10;2012;7;2;0;21,0
24;10;2012;9;2;0;21,5
24;10;2012;11;2;0;21,5
24;10;2012;13;2;0;22,0
24;10;2012;15;2;0;21,5
24;10;2012;17;2;0;21,0
24;10;2012;19;2;0;21,0
24;10;2012;21;2;0;21,0
24;10;2012;23;2;0;21,0
25;10;2012;1;2;0;21,0
25;10;2012;3;2;0;21,0
25;10;2012;5;2;0;21,0
25;10;2012;7;2;0;21,0
25;10;2012;9;2;0;21,5
25;10;2012;11;2;0;21,5
25;10;2012;13;2;0;22,0
25;10;2012;15;2;0;21,5
25;10;2012;17;2;0;21,5
25;10;2012;19;2;0;21,5
25;10;2012;21;2;0;21,0
25;10;2012;23;2;0;21,0
26;10;2012;1;2;0;21,0
26;10;2012;3;2;0;20,5
26;10;2012;5;2;0;20,5
26;10;2012;7;2;0;20,5
26;10;2012;9;2;0;20,5
26;10;2012;11;2;0;20,5
26;10;2012;13;2;0;21,0
26;10;2012;15;2;0;20,5
